q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,A_peak22dotdot,A_nr_error,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,ID,catalog
1.0,0.25,0.0,0.0,0.0,0.145,,,0.989033058557429,0.927254033498312,0.9700001164822232,2.802287328261783,0.8818004519510534,2.8889556615977363,3.1779155046490395,3.082578409680232,0.6854208418,0.0,0.0,0.0,0.0,0.3891658809744567,0.3618475394347771,0.9524194241,0.6854208418,-0.0011006794971241,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1109,RIT
1.0,0.25,0.0,0.0,0.0,0.157,,,0.988891921934176,0.920723994267227,0.9691342745176568,2.792801564946779,0.8784424840897294,2.8817488333458967,3.1792651374788305,3.0811348125098244,0.6832662972,0.0,0.0,0.0,0.0,0.3891956785669325,0.3601454129075705,0.9514192921,0.6832662972,-0.0010976391824373,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1110,RIT
1.0,0.25,0.0,0.0,0.0,0.235,,,0.987973994315934,0.877094507446426,0.9682896093908478,2.7837281357019066,0.8751695353085613,2.874892086731317,3.180787291367996,3.07992328391409,0.6808873569,0.0,0.0,0.0,0.0,0.3901660545251276,0.3551534452610951,0.9505235866,0.6808873569,-0.0012676135187402,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1118,RIT
1.0,0.25,0.0,0.0,0.0,0.4375,0.3638979090594643,5.815840945488542,0.992996625198657,1.00825485056045,0.971399927629474,2.838270356266193,0.8872356387970952,2.921835050155376,3.199003998660705,3.1075122527854075,0.6916352642,0.0,0.0,0.0,0.0,0.3998023636560142,0.359412633408084,0.9523627935,0.6916352642,-0.001151079170475,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1293,RIT
1.0,0.25,0.0,0.0,0.0,0.6975,,,0.991638164963081,0.739386890410985,0.9872544962596358,2.8100738204048974,0.9493428807697344,2.846352010602424,2.960019901478029,2.9222929567521883,0.682866725,0.0,0.0,0.0,0.0,0.352912784557951,0.3524832750930268,0.9751293337,0.682866725,-0.0018185211092754,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1317,RIT
1.0,0.25,0.0,0.0,0.0,0.16,,,0.988856636753217,0.919084235184412,0.9691313661823732,2.7984656005267627,0.8784312098370262,2.887601927023113,3.185753840697392,3.087413971955806,0.6835831831,0.0,0.0,0.0,0.0,0.3906931931847686,0.3585906006394168,0.9510947706,0.6835831831,-0.0010082901397288,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1111,RIT
1.0,0.25,0.0,0.0,0.0,0.3916,0.2762259500282649,0.7361964942573564,0.993236294310414,1.04858504458285,0.9702037975776228,2.833861842497845,0.8825908176680821,2.920893372684534,3.210844465825365,3.1151734941748632,0.6887711505,0.0,0.0,0.0,0.0,0.401136459416507,0.3569929053723513,0.950487752,0.6887711505,-0.0008812561728928,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1287,RIT
1.0,0.25,0.0,0.0,0.0,0.195,,,0.988444828302053,0.89973292614587,0.9711705258095994,2.852655254658637,0.8863443804025875,2.937337139922539,3.2184502070887278,3.125663979910373,0.6917646349,0.0,0.0,0.0,0.0,0.4010821605548004,0.3598349215400278,0.9518453397,0.6917646349,-0.0010763923362214,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1115,RIT
1.0,0.25,0.0,0.0,0.0,0.8775,,,0.990696018725712,0.47051893026155,0.9902846719942672,1.8591522497399464,0.9613274631735862,1.8773917261547897,1.9339427208314768,1.9151538329542996,0.4603042571,0.0,0.0,0.0,0.0,0.2156016014988553,0.2096597066981358,0.9873396825,0.4603042571,-0.0015180979265601,0.0023216675592264,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1321,RIT
1.0,0.25,0.0,0.0,0.0,0.0,,,0.990736917806259,1.00280311375552,0.969853077432152,2.810779766378831,0.8812299836092321,2.898150072195306,3.1896097711823077,3.093452852388823,0.6863736768,0.0,0.0,0.0,0.0,0.3932379086373926,0.3639127188544364,0.9516104403,0.6863736768,-0.0010276862556164,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1090,RIT
1.0,0.25,0.0,0.0,0.0,0.08,0.0891505751021797,4.781416471701508,0.98979721533426,0.961854956924981,0.9703219589921028,2.821908060865405,0.8830494082045446,2.908218282307648,3.1956400566566647,3.10079972000873,0.687538035,0.0,0.0,0.0,0.0,0.3943112360417408,0.359204548531892,0.9518430766,0.687538035,-0.0010387734973674,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1102,RIT
1.0,0.25,0.0,0.0,0.0,0.06,0.0606811565949391,0.7928080322681756,0.990032219471062,0.972253691101401,0.969553385471023,2.8084070662867133,0.8800675345566442,2.8965986900477367,3.191126766994669,3.093967760406882,0.686170769,0.0,0.0,0.0,0.0,0.3936731903119,0.3636634809339796,0.9513497823,0.686170769,-0.001052751204614,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1100,RIT
1.0,0.25,0.0,0.0,0.0,0.64,,,0.99193873251433,0.806603880448357,0.984489489380525,2.9914939974255166,0.938439109401454,3.038624616813196,3.187733724496544,3.138290346710682,0.7166207057,0.0,0.0,0.0,0.0,0.4095980495061917,0.366220797317144,0.9655945151,0.7166207057,-0.0022205606979395,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1315,RIT
1.0,0.25,0.0,0.0,0.0,0.285,,,0.987385121753721,0.847946974017122,0.9740928583650532,2.961844011323832,0.8977137934355988,3.040617725393327,3.2993188174024777,3.2138428975011863,0.7009878137,0.0,0.0,0.0,0.0,0.4193399060703369,0.3581823624660138,0.9502418555,0.7009878137,-0.0004569035418103,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1123,RIT
1.0,0.25,0.0,0.0,0.0,0.6156,,,0.992066251558944,0.833490676463295,0.9826746943697688,3.042967654516826,0.9312991099094372,3.096617499108808,3.267443963103041,3.210834497812627,0.7226310021,0.0,0.0,0.0,0.0,0.4305034171128117,0.3732657099733283,0.9600655767,0.7226310021,-0.0018770740825138,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1314,RIT
1.0,0.25,0.0,0.0,0.0,0.557775,,,0.992368410280599,0.89398596749692,0.9734392659327468,2.9740299326201907,0.8951680089193701,3.0551776949027047,3.322314809049514,3.2340716889186534,0.6954093044,0.0,0.0,0.0,0.0,0.4343783546987149,0.3401203211170462,0.9465235322,0.6954093044,-0.0005080851816717,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1308,RIT
1.0,0.25,0.0,0.0,0.0,0.2775,0.1349919561598227,1.6961540594481477,0.993831847638232,1.14268883063516,0.9701872857791476,2.819040704669181,0.8825267389750184,2.905666509951466,3.1942836179029124,3.099053353262021,0.6850859296,0.0,0.0,0.0,0.0,0.3931015922528148,0.3475869815168266,0.9512320292,0.6850859296,-0.000817028377549,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1283,RIT
1.0,0.25,0.0,0.0,0.0,0.19,0.0725423090654798,0.904944225137548,0.994288400442046,1.20990582067254,0.9697881517918282,2.819282928009646,0.8809781187116201,2.9071121592902536,3.200173611726799,3.1034904523295115,0.6861699297,0.0,0.0,0.0,0.0,0.3953690617246512,0.3608033262001981,0.9513038244,0.6861699297,-0.0009336697251664,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1282,RIT
1.0,0.25,0.0,0.0,0.0,0.399375,0.2874577952647661,4.559022059556941,0.993195711435439,1.04186334557913,0.9705820781579332,2.8051848475761103,0.8840591408827447,2.890208783681714,3.1730737434320244,3.0797285080486265,0.6874165716,0.0,0.0,0.0,0.0,0.3916537555458665,0.3683201906713407,0.9527699149,0.6874165716,-0.0011567138396646,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1286,RIT
1.0,0.25,0.0,0.0,0.0,0.14,,,0.989091862573493,0.929961350306387,0.9703192222658618,2.813404792312348,0.8830387861972537,2.8994631125028785,3.186048944042519,3.0914845334843077,0.6870764893,0.0,0.0,0.0,0.0,0.3918801894954527,0.3642270064981829,0.9524114306,0.6870764893,-0.0011405601345577,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1108,RIT
1.0,0.25,0.0,0.0,0.0,0.002,,,0.990713391249364,1.00179980873818,0.9697317800608484,2.8083143270707547,0.8807594505199627,2.895970189710128,3.188514554584508,3.0920038947671573,0.6863725675,0.0,0.0,0.0,0.0,0.3932477205411836,0.3658343816886713,0.9516130044,0.6863725675,-0.0011034558678039,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1091,RIT
1.0,0.25,0.0,0.0,0.0,0.4524,0.4057777580081294,1.869537256992814,0.992918831212457,0.994811452552977,0.969695962346014,2.8326679334198244,0.8806205187803242,2.92119184096288,3.216672645037981,3.119194476082203,0.6885886705,0.0,0.0,0.0,0.0,0.4039926002687266,0.36077162901951,0.9496850804,0.6885886705,-0.0009111497689761,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1295,RIT
1.0,0.25,0.0,0.0,0.0,0.4671,0.4221250444670354,5.000147848427826,0.99284207680549,0.981368054545507,0.9704148098104692,2.7850421390068347,0.8834098061989788,2.869950160334814,3.152604962571055,3.0593345451609326,0.6848721703,0.0,0.0,0.0,0.0,0.3866533878320977,0.3657793095346733,0.9533769338,0.6848721703,-0.0012442975707218,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1297,RIT
1.0,0.25,0.0,0.0,0.0,0.4816,,,0.992766319126494,0.967924656538013,0.9711470335999226,2.874700891916819,0.8862531217398584,2.9601088120103256,3.243656717703082,3.1500675994138096,0.6922954489,0.0,0.0,0.0,0.0,0.4095889002080066,0.3503679976121816,0.9495673271,0.6922954489,-0.0007206324802795,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,1299,RIT
